FKcontinent_id,country_name,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index
Asia,Mongolia,3329282,1.98,28.6,4.031,2.421,11840.846,460.043,4.82,7.0,69.87,0.737
Europe,Montenegro,628051,46.28,39.1,14.762,9.395,16409.288,387.305,10.08,3.861,76.88,0.829
North America,Montserrat,4981,,,,,,,,,74.16,
Africa,Morocco,37344787,80.08,29.6,6.769,4.209,7485.013,419.146,7.14,1.1,76.68,0.686
Africa,Mozambique,32163045,37.728,17.7,3.158,1.87,1136.103,329.942,3.3,0.7,60.85,0.456
Asia,Myanmar,54806014,81.721,29.1,5.732,3.12,5591.597,202.104,4.61,0.9,67.13,0.583
Africa,Namibia,2587344,3.078,22.0,3.552,2.085,9541.808,243.811,3.94,,63.71,0.646
Oceania,Nauru,10873,682.45,,,,12895.635,,24.07,5.0,59.96,
Asia,Nepal,29674920,204.43,25.0,5.809,3.212,2442.804,260.797,7.26,0.3,70.78,0.602
Europe,Netherlands,17173094,508.544,43.2,18.779,11.881,48472.545,109.361,5.29,3.32,82.28,0.944
Oceania,New Caledonia,288217,15.342,33.4,9.954,6.489,,,23.36,,77.55,
Oceania,New Zealand,4860642,18.206,37.9,15.322,9.72,36085.843,128.797,8.08,2.61,82.29,0.931
North America,Nicaragua,6702379,51.667,27.3,5.445,3.519,5321.444,137.016,11.47,0.9,74.48,0.66
Africa,Niger,25130810,16.955,15.1,2.553,1.378,926.0,238.339,2.42,0.3,62.42,0.394
Africa,Nigeria,211400704,209.588,18.1,2.751,1.447,5338.454,181.013,2.42,,54.69,0.539
Oceania,Niue,1614,,,,,,,,,73.71,
Europe,North Macedonia,2082661,82.6,39.1,13.26,8.16,13111.214,322.688,10.08,4.28,75.8,0.774
Europe,Norway,5465629,14.462,39.7,16.821,10.813,64800.057,114.316,5.31,3.6,82.4,0.957
Asia,Oman,5223376,14.98,30.7,2.355,1.53,37960.709,266.342,12.61,1.6,77.86,0.813
Asia,Pakistan,225199929,255.573,23.5,4.495,2.78,5034.708,423.031,8.35,0.6,67.27,0.557
Oceania,Palau,18174,47.237,,,,13240.405,,15.89,4.8,73.7,0.826
Asia,Palestine,5222756,778.202,20.4,3.043,1.726,4449.898,265.91,10.59,,74.05,0.708
North America,Panama,4381583,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.3,78.51,0.815
Oceania,Papua New Guinea,9119005,18.22,22.6,3.808,2.142,3823.194,561.494,17.65,,64.5,0.555
South America,Paraguay,7219641,17.144,26.5,6.378,3.833,8827.01,199.128,8.27,1.3,74.25,0.728
South America,Peru,33359415,25.129,29.1,7.151,4.455,12236.706,85.755,5.95,1.6,76.74,0.777
Asia,Philippines,111046910,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,1.0,71.23,0.718
Oceania,Pitcairn,47,,,,,,,,,,
Europe,Poland,37797000,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,6.62,78.73,0.88
Europe,Portugal,10167923,112.371,46.2,21.502,14.924,27936.896,127.842,9.85,3.39,82.05,0.864
Asia,Qatar,2930524,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,1.2,80.23,0.848
Europe,Romania,19127772,85.129,43.0,17.85,11.69,23313.199,370.946,9.74,6.892,76.05,0.828
Europe,Russia,145912022,8.823,39.6,14.178,9.393,24765.954,431.297,6.18,8.05,72.58,0.824
Africa,Rwanda,13276517,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,,69.02,0.543
Africa,Saint Helena,6095,,,,,,,,,80.56,
North America,Saint Kitts and Nevis,53546,212.865,,,,24654.385,,12.84,2.3,76.23,0.779
North America,Saint Lucia,184401,293.187,34.9,9.721,6.405,12951.839,204.62,11.62,1.3,76.2,0.759
North America,Saint Vincent and the Grenadines,111269,281.787,31.8,7.724,4.832,10727.146,252.675,11.62,2.6,72.53,0.738
Oceania,Samoa,200144,69.413,22.0,5.606,3.564,6021.557,348.977,9.21,,73.32,0.715
Europe,San Marino,34010,556.667,,,,56861.47,,5.64,3.8,84.97,
Africa,Sao Tome and Principe,223364,212.841,18.7,2.886,2.162,3052.714,270.113,2.42,2.9,70.39,0.625
Asia,Saudi Arabia,35340680,15.322,31.9,3.295,1.845,49045.411,259.538,17.72,2.7,75.13,0.854
Africa,Senegal,17196308,82.328,18.7,3.008,1.796,2470.58,241.219,2.42,,67.94,0.512
Europe,Serbia,6908224,80.291,41.2,17.366,,14048.881,439.415,10.08,5.609,76.0,0.806
Africa,Seychelles,98910,208.354,36.2,8.606,5.586,26382.287,242.648,10.55,3.6,73.4,0.796
Africa,Sierra Leone,8141343,104.7,19.1,2.538,1.285,1390.3,325.721,2.42,,54.7,0.452
